ENTITY_NAME;NEW ENTITY_NAME
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?bytes_read_from_result;snowflake.data.read.from_result
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?size.row_count;snowflake.data.rows
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?bytes_scanned;snowflake.data.scanned
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?percentage_scanned_from_cache;snowflake.data.scanned_from_cache
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?bytes_sent_over_the_network;snowflake.data.sent_over_the_network
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?size.bytes;snowflake.data.size
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?bytes_spilled_to_local_storage;snowflake.data.spilled.to_local_storage
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?bytes_spilled_to_remote_storage;snowflake.data.spilled.to_remote_storage
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?inbound_data_transfer_bytes;snowflake.data.transferred.inbound
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?outbound_data_transfer_bytes;snowflake.data.transferred.outbound
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?bytes_written;snowflake.data.written
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?bytes_written_to_result;snowflake.data.written.to_result
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?external_function_total_received_bytes;snowflake.external_functions.data.received
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?external_function_total_sent_bytes;snowflake.external_functions.data.sent
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?external_function_total_invocations;snowflake.external_functions.invocations
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?external_function_total_received_rows;snowflake.external_functions.rows.received
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?external_function_total_sent_rows;snowflake.external_functions.rows.sent
snowflake.warehouse.load.avg_blocked;snowflake.load.blocked
snowflake.warehouse.load.avg_queued_load;snowflake.load.queued.overloaded
snowflake.warehouse.load.avg_queued_provisioning;snowflake.load.queued.provisioning
snowflake.warehouse.load.avg_running;snowflake.load.running
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?query_load_percent;snowflake.load.used
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?partitions_scanned;snowflake.partitions.scanned
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?partitions_total;snowflake.partitions.total
snowflake.query.count;-
snowflake.warehouse.queued_queries;snowflake.queries.queued
snowflake.warehouse.running_queries;snowflake.queries.running
snowflake.resource_monitor.warehouses.count;snowflake.resource_monitor.warehouses
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?rows_deleted;snowflake.rows.deleted
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?rows_inserted;snowflake.rows.inserted
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?rows_unloaded;snowflake.rows.unloaded
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?rows_updated;snowflake.rows.updated
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?rows_written_to_result;snowflake.rows.written_to_result
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?last_ddl.time_since;snowflake.table.time_since.last_ddl
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?last_update.time_since;snowflake.table.time_since.last_update
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?child_queries_wait_time;snowflake.time.child_queries_wait
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?compilation_time;snowflake.time.compilation
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?execution_time;snowflake.time.execution
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?fault_handling_time;snowflake.time.fault_handling
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?list_external_files_time;snowflake.time.list_external_files
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?queued_overload_time;snowflake.time.queued.overload
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?queued_provisioning_time;snowflake.time.queued.provisioning
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?queued_repair_time;snowflake.time.repair
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?query_retry_time;snowflake.time.retry
snowflake.query.running_time;snowflake.time.running
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?total_elapsed_time;snowflake.time.total_elapsed
snowflake.(warehouse\.load\.|warehouse\.credits\.|table\.dynamic\.|trust_center\.|table_qs\.|event_usage\.|table\.|budget\.|budget\.spending\.|serverless_tasks\.|resource_monitor\.|warehouse\.|query\.)?transaction_blocked_time;snowflake.time.transaction_blocked
snowflake.trust_center.findings.count;snowflake.trust_center.findings
snowflake.warehouse.max_cluster_count;snowflake.warehouse.clusters.max
snowflake.warehouse.min_cluster_count;snowflake.warehouse.clusters.min
snowflake.warehouse.started_clusters;snowflake.warehouse.clusters.started
snowflake.query.accel_est.estimated_query_times;snowflake.query.accel_est.estimated_query_times
snowflake.query.accel_est.status;snowflake.query.accel_est.status
snowflake.query.accel_est.upper_limit_scale_factor;snowflake.query.accel_est.upper_limit_scale_factor
snowflake.otlp.debug.span_events_added;dsoa.debug.span.events.added
snowflake.otlp.debug.span_events_failed;dsoa.debug.span.events.failed
snowflake.operator_id;snowflake.query.operator.id
snowflake.operator_type;snowflake.query.operator.type
snowflake.operator_parent_ops;snowflake.query.operator.parent_ids
snowflake.operator_attr;snowflake.query.operator.attributes
snowflake.operator_stat;snowflake.query.operator.stats
snowflake.operator_exec_time;snowflake.query.operator.time
snowflake.table.event;snowflake.event.trigger
